k, f, h2OmegaGW
2.870056028624087424e-09 2.399359790528751464e-13 2.494393634406471026e-52
6.855020205095012642e-01 5.730780054231965505e-05 4.553132647904057959e-21
1.371004038148946336e+00 1.146156008447033229e-04 1.791626874414005423e-20
2.056506055788391851e+00 1.719234011470870246e-04 2.874334605482967084e-20
2.742008073427836923e+00 2.292312014494706722e-04 8.872497332217407001e-20
3.427510091067281994e+00 2.865390017518543468e-04 7.941689308403682548e-20
4.113012108706727510e+00 3.438468020542381027e-04 9.628361936498551316e-20
4.798514126346172581e+00 4.011546023566216960e-04 1.151295780473722138e-19
5.484016143985617653e+00 4.584624026590053436e-04 1.059225732724046118e-19
6.169518161625062724e+00 5.157702029613889369e-04 1.162944953894468019e-19
6.855020179264507796e+00 5.730780032637728012e-04 1.207904850039936144e-19
7.540522196903952867e+00 6.303858035661563403e-04 1.155532801429891854e-19
8.226024214543398827e+00 6.876936038685402047e-04 1.300932050104907657e-19
8.911526232182843898e+00 7.450014041709238522e-04 1.542532312357630102e-19
9.597028249822288970e+00 8.023092044733073913e-04 1.975317744058772332e-19
1.028253026746173404e+01 8.596170047756911473e-04 2.515916295167892913e-19
1.096803228510117911e+01 9.169248050780747948e-04 3.142922146338209887e-19
1.165353430274062418e+01 9.742326053804585507e-04 3.668524267556315222e-19
1.233903632038006926e+01 1.031540405682842198e-03 3.951722645643061294e-19
1.302453833801951433e+01 1.088848205985225954e-03 3.746090423487117547e-19
1.371004035565895940e+01 1.146156006287609276e-03 3.489814204386410382e-19
1.439554237329840447e+01 1.203463806589993032e-03 2.579869469401938426e-19
1.508104439093784954e+01 1.260771606892376788e-03 2.116427530092793297e-19
1.576654640857729461e+01 1.318079407194760327e-03 1.106209347888105173e-19
1.645204842621674146e+01 1.375387207497144083e-03 4.010534311082650919e-20
1.713755044385618476e+01 1.432695007799527839e-03 2.002561416121087156e-20
1.782305246149563160e+01 1.490002808101911595e-03 1.309101344312848584e-20
1.850855447913507490e+01 1.547310608404294918e-03 6.788240651173205364e-21
1.919405649677452175e+01 1.604618408706679107e-03 5.413681099633654476e-21
1.987955851441396504e+01 1.661926209009062213e-03 3.276157562928983396e-21
2.056506053205341189e+01 1.719234009311446185e-03 2.322312121757101838e-21
2.125056254969285519e+01 1.776541809613830158e-03 1.437381132087644779e-21
2.193606456733230203e+01 1.833849609916213264e-03 9.962466187212619349e-22
2.262156658497174888e+01 1.891157410218597236e-03 6.634665423073760983e-22
2.330706860261119218e+01 1.948465210520981209e-03 3.161484616874440372e-22
2.399257062025063902e+01 2.005773010823364531e-03 2.425622328409159997e-22
2.467807263789008232e+01 2.063080811125748287e-03 1.052289437062882132e-22
2.536357465552952917e+01 2.120388611428132043e-03 3.373018458425861432e-23
2.604907667316897246e+01 2.177696411730515799e-03 1.322580724011521038e-23
2.673457869080841931e+01 2.235004212032899555e-03 2.007493700560666023e-24
2.742008070844786261e+01 2.292312012335282877e-03 6.475565200697262062e-25
2.810558272608730945e+01 2.349619812637666633e-03 4.188181990261043729e-26
2.879108474372675275e+01 2.406927612940050389e-03 0.000000000000000000e+00
2.947658676136619960e+01 2.464235413242434145e-03 0.000000000000000000e+00
3.016208877900564289e+01 2.521543213544817901e-03 0.000000000000000000e+00
3.084759079664508974e+01 2.578851013847201223e-03 0.000000000000000000e+00
3.153309281428453303e+01 2.636158814149585413e-03 0.000000000000000000e+00
3.221859483192397278e+01 2.693466614451967434e-03 0.000000000000000000e+00
3.290409684956342318e+01 2.750774414754352925e-03 0.000000000000000000e+00
3.358959886720286647e+01 2.808082215056736247e-03 0.000000000000000000e+00
3.427510088484230977e+01 2.865390015359120003e-03 0.000000000000000000e+00
3.496060290248176017e+01 2.922697815661502892e-03 0.000000000000000000e+00
3.564610492012120346e+01 2.980005615963887081e-03 0.000000000000000000e+00
3.633160693776064676e+01 3.037313416266270404e-03 0.000000000000000000e+00
3.701710895540009005e+01 3.094621216568653726e-03 0.000000000000000000e+00
3.770261097303954045e+01 3.151929016871038349e-03 0.000000000000000000e+00
3.838811299067898375e+01 3.209236817173421238e-03 0.000000000000000000e+00
3.907361500831842704e+01 3.266544617475805861e-03 0.000000000000000000e+00
3.975911702595787034e+01 3.323852417778188750e-03 0.000000000000000000e+00
4.044461904359732074e+01 3.381160218080572072e-03 0.000000000000000000e+00
4.113012106123676404e+01 3.438468018382955828e-03 0.000000000000000000e+00
4.181562307887620733e+01 3.495775818685339584e-03 0.000000000000000000e+00
4.250112509651565063e+01 3.553083618987723340e-03 0.000000000000000000e+00
4.318662711415510103e+01 3.610391419290107963e-03 0.000000000000000000e+00
4.387212913179454432e+01 3.667699219592490852e-03 0.000000000000000000e+00
4.455763114943398762e+01 3.725007019894874608e-03 0.000000000000000000e+00
4.524313316707343802e+01 3.782314820197258797e-03 0.000000000000000000e+00
4.592863518471288131e+01 3.839622620499641686e-03 0.000000000000000000e+00
4.661413720235232461e+01 3.896930420802025008e-03 0.000000000000000000e+00
4.729963921999176790e+01 3.954238221104408764e-03 0.000000000000000000e+00
4.798514123763121830e+01 4.011546021406793387e-03 0.000000000000000000e+00
4.867064325527066160e+01 4.068853821709177143e-03 0.000000000000000000e+00
4.935614527291010489e+01 4.126161622011560032e-03 0.000000000000000000e+00
5.004164729054954819e+01 4.183469422313942920e-03 0.000000000000000000e+00
5.072714930818899859e+01 4.240777222616328411e-03 0.000000000000000000e+00
5.141265132582844188e+01 4.298085022918711300e-03 0.000000000000000000e+00
5.209815334346788518e+01 4.355392823221094188e-03 0.000000000000000000e+00
5.278365536110732847e+01 4.412700623523478811e-03 0.000000000000000000e+00
5.346915737874677887e+01 4.470008423825862567e-03 0.000000000000000000e+00
5.415465939638622217e+01 4.527316224128245456e-03 0.000000000000000000e+00
5.484016141402566547e+01 4.584624024430630079e-03 0.000000000000000000e+00
5.552566343166511587e+01 4.641931824733013835e-03 0.000000000000000000e+00
5.621116544930455916e+01 4.699239625035397591e-03 0.000000000000000000e+00
5.689666746694400246e+01 4.756547425337779612e-03 0.000000000000000000e+00
5.758216948458344575e+01 4.813855225640164236e-03 0.000000000000000000e+00
5.826767150222289615e+01 4.871163025942547992e-03 0.000000000000000000e+00
5.895317351986233945e+01 4.928470826244930880e-03 0.000000000000000000e+00
5.963867553750178274e+01 4.985778626547314636e-03 0.000000000000000000e+00
6.032417755514122604e+01 5.043086426849700127e-03 0.000000000000000000e+00
6.100967957278067644e+01 5.100394227152083015e-03 0.000000000000000000e+00
6.169518159042011973e+01 5.157702027454466771e-03 0.000000000000000000e+00
6.238068360805956303e+01 5.215009827756849660e-03 0.000000000000000000e+00
6.306618562569900632e+01 5.272317628059232548e-03 0.000000000000000000e+00
6.375168764333845672e+01 5.329625428361618039e-03 0.000000000000000000e+00
6.443718966097789291e+01 5.386933228664000928e-03 0.000000000000000000e+00
6.512269167861734331e+01 5.444241028966383816e-03 0.000000000000000000e+00
6.580819369625679371e+01 5.501548829268769307e-03 0.000000000000000000e+00
6.649369571389622990e+01 5.558856629571152196e-03 0.000000000000000000e+00
6.717919773153568030e+01 5.616164429873536819e-03 0.000000000000000000e+00
6.786469974917513071e+01 5.673472230175919707e-03 0.000000000000000000e+00
6.855020176681456689e+01 5.730780030478302596e-03 0.000000000000000000e+00
6.923570378445401730e+01 5.788087830780686352e-03 0.000000000000000000e+00
6.992120580209346770e+01 5.845395631083070975e-03 0.000000000000000000e+00
7.060670781973290389e+01 5.902703431385453864e-03 0.000000000000000000e+00
7.129220983737235429e+01 5.960011231687838487e-03 0.000000000000000000e+00
7.197771185501179048e+01 6.017319031990219641e-03 0.000000000000000000e+00
7.266321387265124088e+01 6.074626832292605132e-03 0.000000000000000000e+00
7.334871589029069128e+01 6.131934632594990622e-03 0.000000000000000000e+00
7.403421790793012747e+01 6.189242432897371776e-03 0.000000000000000000e+00
7.471971992556957787e+01 6.246550233199755532e-03 0.000000000000000000e+00
7.540522194320902827e+01 6.303858033502139288e-03 0.000000000000000000e+00
7.609072396084846446e+01 6.361165833804523911e-03 0.000000000000000000e+00
7.677622597848791486e+01 6.418473634106906800e-03 0.000000000000000000e+00
7.746172799612736526e+01 6.475781434409291423e-03 0.000000000000000000e+00
7.814723001376680145e+01 6.533089234711675179e-03 0.000000000000000000e+00
7.883273203140625185e+01 6.590397035014058068e-03 0.000000000000000000e+00
7.951823404904568804e+01 6.647704835316442691e-03 0.000000000000000000e+00
8.020373606668513844e+01 6.705012635618825580e-03 0.000000000000000000e+00
8.088923808432458884e+01 6.762320435921208468e-03 0.000000000000000000e+00
8.157474010196402503e+01 6.819628236223593092e-03 0.000000000000000000e+00
8.226024211960347543e+01 6.876936036525975980e-03 0.000000000000000000e+00
8.294574413724292583e+01 6.934243836828360603e-03 0.000000000000000000e+00
8.363124615488236202e+01 6.991551637130743492e-03 0.000000000000000000e+00
8.431674817252181242e+01 7.048859437433127248e-03 0.000000000000000000e+00
8.500225019016124861e+01 7.106167237735510137e-03 0.000000000000000000e+00
8.568775220780069901e+01 7.163475038037895627e-03 0.000000000000000000e+00
8.637325422544014941e+01 7.220782838340279383e-03 0.000000000000000000e+00
8.705875624307958560e+01 7.278090638642662272e-03 0.000000000000000000e+00
8.774425826071903600e+01 7.335398438945045160e-03 0.000000000000000000e+00
8.842976027835848640e+01 7.392706239247429784e-03 0.000000000000000000e+00
8.911526229599792259e+01 7.450014039549814407e-03 0.000000000000000000e+00
8.980076431363737299e+01 7.507321839852197295e-03 0.000000000000000000e+00
9.048626633127682339e+01 7.564629640154581919e-03 0.000000000000000000e+00
9.117176834891625958e+01 7.621937440456963940e-03 0.000000000000000000e+00
9.185727036655570998e+01 7.679245240759347696e-03 0.000000000000000000e+00
9.254277238419514617e+01 7.736553041061731452e-03 0.000000000000000000e+00
9.322827440183459657e+01 7.793860841364114340e-03 0.000000000000000000e+00
9.391377641947404697e+01 7.851168641666499831e-03 0.000000000000000000e+00
9.459927843711348316e+01 7.908476441968882720e-03 0.000000000000000000e+00
9.528478045475293357e+01 7.965784242271267343e-03 0.000000000000000000e+00
9.597028247239238397e+01 8.023092042573650232e-03 0.000000000000000000e+00
9.665578449003182016e+01 8.080399842876034855e-03 0.000000000000000000e+00
9.734128650767127056e+01 8.137707643178417743e-03 0.000000000000000000e+00
9.802678852531070675e+01 8.195015443480802367e-03 0.000000000000000000e+00
9.871229054295015715e+01 8.252323243783185255e-03 0.000000000000000000e+00
9.939779256058960755e+01 8.309631044085568144e-03 0.000000000000000000e+00
1.000832945782290437e+02 8.366938844387951033e-03 0.000000000000000000e+00
1.007687965958684941e+02 8.424246644690333921e-03 0.000000000000000000e+00
1.014542986135079445e+02 8.481554444992720279e-03 0.000000000000000000e+00
1.021398006311473807e+02 8.538862245295103168e-03 0.000000000000000000e+00
1.028253026487868311e+02 8.596170045597489526e-03 0.000000000000000000e+00
1.035108046664262815e+02 8.653477845899872414e-03 0.000000000000000000e+00
1.041963066840657177e+02 8.710785646202255303e-03 0.000000000000000000e+00
1.048818087017051681e+02 8.768093446504639926e-03 0.000000000000000000e+00
1.055673107193446043e+02 8.825401246807022815e-03 0.000000000000000000e+00
1.062528127369840547e+02 8.882709047109403969e-03 0.000000000000000000e+00
1.069383147546235051e+02 8.940016847411788592e-03 0.000000000000000000e+00
1.076238167722629413e+02 8.997324647714173215e-03 0.000000000000000000e+00
1.083093187899023917e+02 9.054632448016554369e-03 0.000000000000000000e+00
1.089948208075418421e+02 9.111940248318938992e-03 0.000000000000000000e+00
1.096803228251812783e+02 9.169248048621323616e-03 0.000000000000000000e+00
1.103658248428207287e+02 9.226555848923706504e-03 0.000000000000000000e+00
1.110513268604601791e+02 9.283863649226092862e-03 0.000000000000000000e+00
1.117368288780996153e+02 9.341171449528474016e-03 0.000000000000000000e+00
1.124223308957390657e+02 9.398479249830858639e-03 0.000000000000000000e+00
1.131078329133785019e+02 9.455787050133243263e-03 0.000000000000000000e+00
1.137933349310179523e+02 9.513094850435626151e-03 0.000000000000000000e+00
1.144788369486574027e+02 9.570402650738010775e-03 0.000000000000000000e+00
1.151643389662968389e+02 9.627710451040393663e-03 0.000000000000000000e+00
1.158498409839362893e+02 9.685018251342778287e-03 0.000000000000000000e+00
1.165353430015757397e+02 9.742326051645161175e-03 0.000000000000000000e+00
1.172208450192151759e+02 9.799633851947542329e-03 0.000000000000000000e+00
1.179063470368546263e+02 9.856941652249925218e-03 0.000000000000000000e+00
1.185918490544940624e+02 9.914249452552315045e-03 0.000000000000000000e+00
1.192773510721335128e+02 9.971557252854694464e-03 0.000000000000000000e+00
1.199628530897729632e+02 1.002886505315708082e-02 0.000000000000000000e+00
1.206483551074123994e+02 1.008617285345946371e-02 0.000000000000000000e+00
1.213338571250518498e+02 1.014348065376184660e-02 0.000000000000000000e+00
1.220193591426913002e+02 1.020078845406422949e-02 0.000000000000000000e+00
1.227048611603307364e+02 1.025809625436661238e-02 0.000000000000000000e+00
1.233903631779701868e+02 1.031540405466899527e-02 0.000000000000000000e+00
1.240758651956096372e+02 1.037271185497137989e-02 0.000000000000000000e+00
1.247613672132490734e+02 1.043001965527376278e-02 0.000000000000000000e+00
1.254468692308885238e+02 1.048732745557614914e-02 0.000000000000000000e+00
1.261323712485279600e+02 1.054463525587853202e-02 0.000000000000000000e+00
1.268178732661674104e+02 1.060194305618091838e-02 0.000000000000000000e+00
1.275033752838068608e+02 1.065925085648329954e-02 0.000000000000000000e+00
1.281888773014462970e+02 1.071655865678568242e-02 0.000000000000000000e+00
1.288743793190857332e+02 1.077386645708806531e-02 0.000000000000000000e+00
1.295598813367251978e+02 1.083117425739045167e-02 0.000000000000000000e+00
1.302453833543646340e+02 1.088848205769283109e-02 0.000000000000000000e+00
1.309308853720040702e+02 1.094578985799521745e-02 0.000000000000000000e+00
1.316163873896435348e+02 1.100309765829760207e-02 0.000000000000000000e+00
1.323018894072829710e+02 1.106040545859998669e-02 0.000000000000000000e+00
1.329873914249224072e+02 1.111771325890236785e-02 0.000000000000000000e+00
1.336728934425618718e+02 1.117502105920475421e-02 0.000000000000000000e+00
1.343583954602013080e+02 1.123232885950713709e-02 0.000000000000000000e+00
1.350438974778407442e+02 1.128963665980951998e-02 0.000000000000000000e+00
1.357293994954802088e+02 1.134694446011190287e-02 0.000000000000000000e+00
1.364149015131196450e+02 1.140425226041428576e-02 0.000000000000000000e+00
1.371004035307590811e+02 1.146156006071666865e-02 0.000000000000000000e+00
1.377859055483985458e+02 1.151886786101905501e-02 0.000000000000000000e+00
1.384714075660379820e+02 1.157617566132143790e-02 0.000000000000000000e+00
1.391569095836774181e+02 1.163348346162382078e-02 0.000000000000000000e+00
1.398424116013168828e+02 1.169079126192620541e-02 0.000000000000000000e+00
1.405279136189563189e+02 1.174809906222858830e-02 0.000000000000000000e+00
1.412134156365957551e+02 1.180540686253097118e-02 0.000000000000000000e+00
1.418989176542351913e+02 1.186271466283335407e-02 0.000000000000000000e+00
1.425844196718746559e+02 1.192002246313574043e-02 0.000000000000000000e+00
1.432699216895140921e+02 1.197733026343812332e-02 0.000000000000000000e+00
1.439554237071535283e+02 1.203463806374050794e-02 0.000000000000000000e+00
1.446409257247929929e+02 1.209194586404289257e-02 0.000000000000000000e+00
1.453264277424324291e+02 1.214925366434527546e-02 0.000000000000000000e+00
1.460119297600718653e+02 1.220656146464765661e-02 0.000000000000000000e+00
1.466974317777113299e+02 1.226386926495004297e-02 0.000000000000000000e+00
1.473829337953507661e+02 1.232117706525242412e-02 0.000000000000000000e+00
1.480684358129902023e+02 1.237848486555480874e-02 0.000000000000000000e+00
1.487539378306296669e+02 1.243579266585719337e-02 0.000000000000000000e+00
1.494394398482691031e+02 1.249310046615957452e-02 0.000000000000000000e+00
1.501249418659085393e+02 1.255040826646196261e-02 0.000000000000000000e+00
1.508104438835480039e+02 1.260771606676434724e-02 0.000000000000000000e+00
1.514959459011874401e+02 1.266502386706672839e-02 0.000000000000000000e+00
1.521814479188268763e+02 1.272233166736911301e-02 0.000000000000000000e+00
1.528669499364663409e+02 1.277963946767149937e-02 0.000000000000000000e+00
